GEOID_ZIP,ALAND10,AWATER10,tot_pop,white,per_white,black,per_black,native,per_native,asian,per_asian,nativehawaiian ,per_hawaiian,other,per_other,two_or_mor,per_two_or,male,female,under_5,per_under_5,5_to_9,per_5_to_9,10_to_14,per_10_to_14,15_to_19,per_15_to_19,20_to_24,per_20_to_24,25_to_29,per_25_to_29,30_to_34,per_30_to_34,35_to_39,per_35_to_39,40_to_44,per_40_to_44,45_to_49,per_45_to_49,50_to_54,per_50_to_54,55_to_59,per_55_to_59,60_to_64,per_60_to_64,65_to_69,per_65_to_69,70_to_74,per_70_to_74,75_to_79,per_75_to_79,80_to_84,per_80_to_89,80_and_over,per_80_and_over,disabled,per_disabled,unemployment_rate,tot_households_snap,households_snap,per_households_snap,tot_pop_mobility,same_house,moved_within_1yr,less_10k,10k_15k,15k_25k,25k_35k,35k_50k,50k_75k,75k_100k,100k_150k,150k_200k,more_200k,med_income,mean_incom,speaks_only_english,naturalized,non_citizen,pop_pov,pop_below_,pcnt_pov,families_on_suplimental_income,families_on_social_security,2_ppl_fam,3_to_4_ppl,5_to_6_ppl,GT_7_ppl_f,insured,per_insured,uninsured,per_uninsured,owner,rent,per_minority,minority-majority-50,minority-majority-60,minority-majority-70,4_16_2020_positive,4_16_2020_tests,4_16_2020_positive_rate,4_2_2020_positive,4_2_2020_tests,4_2_2020_positive_rate,4_3_2020_positive,4_3_2020_tests,4_3_2020_positive_rate,4_7_2020_positive,4_7_2020_tests,4_7_2020_positive_rate,4_8_2020_positive,4_8_2020_tests,4_8_2020_positive_rate,hospital_count,3_26_bb_beds,4_2_bb_beds,4_7_bb_beds,licensed_beds,staffed_beds,ICU_beds,adult_icu_beds,pediatrics_icu_beds,bed_utilization_rate,potential_increase_bed_capacity,avg_ventilator_use,GEOID10,borough,sub_region_2,retail_and_recreation_percent_change_from_baseline_sum,grocery_and_pharmacy_percent_change_from_baseline_sum,parks_percent_change_from_baseline_sum,transit_stations_percent_change_from_baseline_sum,workplaces_percent_change_from_baseline_sum,residential_percent_change_from_baseline_sum,pop_density,per_infected
11001,5775587,34951,27867,19036,68.3,1511,5.4,63,0.2,5171,18.6,0,0.0,1571,5.6,515,1.8,13692,14175,1344,4.8,1615,5.8,1719,6.2,1780,6.4,1664,6.0,1859,6.7,1522,5.5,1415,5.1,1534,5.5,1993,7.2,2253,8.1,2359,8.5,1947,7.0,1441,5.2,1195,4.3,801,2.9,503,1.8,923,3.3,2341,8.4,64.0,9144,299,3.3,27640,26074,647,2.4,1.3,5.0,5.1,6.7,13.5,11.5,20.5,14.7,19.2,108438,130947,18826,4928,1767,27841,990,2.8,338,2135,2483,3404,1131,203,27001,96.9,852,3.1,7394,1750,31.600000000000005,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1025,1025,1025,0,0,0,0,0,0.0,0,0,11001,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.004824964111872958,0.0
11003,10754310,113541,45263,9578,21.2,21333,47.1,89,0.2,6377,14.1,16,0.0,5258,11.6,2612,5.8,22279,22984,2043,4.5,2478,5.5,2634,5.8,3051,6.7,3663,8.1,3584,7.9,2701,6.0,3212,7.1,2481,5.5,3480,7.7,3396,7.5,3723,8.2,2606,5.8,2393,5.3,1298,2.9,982,2.2,696,1.5,842,1.9,3304,7.3,65.5,12256,916,7.5,44755,42512,711,2.2,2.7,3.7,5.4,9.4,14.0,13.2,25.6,12.5,11.2,97338,112436,24254,13055,6577,45106,3093,4.5,769,3137,2689,4393,2378,707,42911,94.8,2352,5.2,9821,2435,78.8,1,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,11003,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.00420882418304847,0.0
11005,475148,0,1749,1726,98.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,1.3,604,1145,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.3,0,0.0,0,0.0,67,3.8,54,3.1,5,0.3,82,4.7,102,5.8,291,16.6,218,12.5,305,17.4,619,35.4,727,41.6,18.0,1271,0,0.0,1749,1650,64,0.8,14.7,6.0,10.3,10.3,18.3,14.2,11.6,5.6,8.3,62993,87343,1601,159,0,1749,186,0.0,20,390,390,0,0,0,1749,100.0,0,0.0,1176,95,1.3,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1025,1025,1025,0,0,0,0,0,0.0,0,0,11005,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.0036809583540286395,0.0
11020,5087281,128626,5728,2394,41.8,590,10.3,15,0.3,2404,42.0,0,0.0,232,4.1,93,1.6,2997,2731,121,2.1,272,4.7,535,9.3,502,8.8,338,5.9,192,3.4,146,2.5,284,5.0,389,6.8,519,9.1,526,9.2,424,7.4,419,7.3,336,5.9,191,3.3,269,4.7,142,2.5,123,2.1,429,7.5,61.7,1883,97,5.2,5716,5402,74,3.6,0.6,4.5,5.5,7.5,12.5,8.7,11.4,11.7,34.1,135938,201775,2893,1470,687,5728,172,2.4,44,433,529,837,194,34,5577,97.4,151,2.6,1536,347,58.300000000000004,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1025,1025,1025,0,0,0,0,0,0.0,0,0,11020,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.0011259452741061483,0.0
11021,6045979,92751,18185,12881,70.8,414,2.3,49,0.3,3764,20.7,0,0.0,748,4.1,329,1.8,8355,9830,981,5.4,1138,6.3,971,5.3,981,5.4,525,2.9,682,3.8,1371,7.5,1324,7.3,809,4.4,1203,6.6,1473,8.1,1147,6.3,1234,6.8,1115,6.1,1000,5.5,691,3.8,672,3.7,868,4.8,1652,9.2,62.3,7949,324,4.1,17998,16214,903,4.6,3.7,4.9,8.9,6.4,10.7,11.3,16.8,9.0,23.7,99170,150359,11022,3831,1517,17990,1451,7.6,245,1258,1967,2153,490,33,17312,96.3,669,3.7,5563,2386,29.2,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1025,1025,1025,0,0,0,0,0,0.0,0,0,11021,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.0030077841818504495,0.0
11040,12396450,73573,41877,20645,49.3,687,1.6,97,0.2,16101,38.4,98,0.2,3238,7.7,1011,2.4,19603,22274,2317,5.5,2360,5.6,2474,5.9,2403,5.7,2630,6.3,2146,5.1,2202,5.3,2284,5.5,2778,6.6,3168,7.6,3235,7.7,2906,6.9,2896,6.9,2531,6.0,1808,4.3,1342,3.2,949,2.3,1448,3.5,3636,8.7,62.5,12876,582,4.5,41482,39218,689,1.8,0.8,4.3,4.8,6.2,9.4,11.5,22.9,15.2,23.1,124378,151193,20475,11253,4046,41828,1299,2.3,525,3658,3157,5604,1689,363,39937,95.4,1912,4.6,11500,1376,50.5,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1025,1025,1025,0,0,0,0,0,0.0,0,0,11040,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.003378144549447624,0.0
11042,1522207,0,522,317,60.7,153,29.3,0,0.0,29,5.6,0,0.0,15,2.9,8,1.5,232,290,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45,8.6,14,2.7,107,20.5,80,15.3,276,52.9,0,0.0,0.0,0,0,0.0,522,363,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,419,127,15,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,39.3,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1025,1025,1025,0,0,0,0,0,0.0,0,0,11042,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.0003429231372605697,0.0
11096,3199474,1577341,8311,3349,40.3,1975,23.8,0,0.0,132,1.6,0,0.0,2746,33.0,109,1.3,4130,4181,634,7.6,630,7.6,573,6.9,597,7.2,528,6.4,528,6.4,607,7.3,739,8.9,540,6.5,543,6.5,566,6.8,454,5.5,298,3.6,393,4.7,210,2.5,151,1.8,158,1.9,162,1.9,594,7.1,66.6,2581,460,17.8,8212,7387,292,5.5,2.9,13.8,9.2,13.0,19.1,15.9,10.9,4.1,5.6,56917,73073,4018,1216,1533,8301,1330,15.0,160,467,607,983,337,84,7371,88.7,940,11.3,1122,1459,59.7,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,257,257,257,257,166,8,8,0,0.729691,91,8,11096,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.0025976144828806233,0.0
11580,10099387,40010,43714,15334,35.1,13924,31.9,25,0.1,6409,14.7,12,0.0,5885,13.5,2125,4.9,20745,22969,2261,5.2,2655,6.1,2748,6.3,2709,6.2,2649,6.1,3190,7.3,2508,5.7,3120,7.1,2782,6.4,2720,6.2,3592,8.2,3420,7.8,2915,6.7,2515,5.8,1295,3.0,868,2.0,812,1.9,955,2.2,3699,8.5,70.2,13302,513,3.9,43475,40324,1576,2.5,0.7,3.5,4.8,7.8,13.0,12.8,25.8,16.3,12.8,109470,119825,25210,12164,3858,43623,1835,2.9,419,3213,3393,4842,2332,249,40878,93.6,2778,6.4,11197,2105,65.10000000000001,1,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,11580,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.004328381514640443,0.0
11581,7072085,414322,21275,11822,55.6,4730,22.2,1,0.0,3297,15.5,10,0.0,918,4.3,497,2.3,10203,11072,1282,6.0,1436,6.7,1536,7.2,1221,5.7,1339,6.3,1358,6.4,1523,7.2,1232,5.8,1345,6.3,1317,6.2,1518,7.1,1687,7.9,1220,5.7,952,4.5,727,3.4,772,3.6,227,1.1,583,2.7,1938,9.1,67.4,6854,255,3.7,21062,19641,647,2.8,1.5,4.4,3.8,5.5,14.4,13.9,18.7,16.2,18.9,108800,132378,12833,5118,1421,21246,602,2.2,164,1613,1994,2184,1066,187,20268,95.3,1007,4.7,5674,1180,44.3,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,11581,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.0030083066026497136,0.0
11430,18127150,364255,198,25,12.6,146,73.7,0,0.0,0,0.0,0,0.0,27,13.6,0,0.0,188,10,4,2.0,0,0.0,0,0.0,0,0.0,12,6.1,34,17.2,0,0.0,25,12.6,7,3.5,23,11.6,51,25.8,12,6.1,18,9.1,12,6.1,0,0.0,0,0.0,0,0.0,0,0.0,60,30.3,72.2,0,0,0.0,198,49,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,133,7,7,194,144,0.0,0,0,0,0,0,0,173,87.4,25,12.6,0,0,87.3,1,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,11430,Queens,Queens,-1470,-315,500,-1986,-1650,778,1.0922842255953087e-05,0.0
11559,10805713,2486438,8181,7220,88.3,150,1.8,73,0.9,294,3.6,0,0.0,442,5.4,2,0.0,3562,4619,298,3.6,544,6.6,804,9.8,870,10.6,536,6.6,338,4.1,150,1.8,378,4.6,672,8.2,399,4.9,637,7.8,395,4.8,423,5.2,549,6.7,445,5.4,311,3.8,191,2.3,241,2.9,425,5.2,57.6,2694,84,3.1,8181,7870,130,2.9,0.6,3.7,3.8,7.3,16.3,10.3,14.6,7.9,32.5,108750,222848,5949,944,244,8181,315,2.3,17,568,832,621,337,176,7982,97.7,185,2.3,2281,413,11.700000000000001,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,257,257,257,257,166,8,8,0,0.729691,91,8,11559,Queens,Queens,-1470,-315,500,-1986,-1650,778,0.000757099508380428,0.0
